词语,词频
隔音,46
静音,41
加装,32
治理,30
降噪,25
小区,21
区域,18
夜间,18
禁止,18
管控,16
施工,16
企业,15
校园,15
执法,14
音量,14
管理,12
外放,12
避开,11
减震,11
管道,11
设备,11
周边,11
门窗,11
医院,11
投诉,10
宣传,10
文明,10
装修,10
规范,10
窗户,10
墙面,10
绿植,10
分贝,10
居民,8
监管,8
安静,8
隔断,8
共振,8
绿化,8
缓冲,8
扰民,7
监测,7
卧室,7
吊顶,7
床头,7
电梯,7
广告,7
学生,7
教室,7
限定,7
培训,7
宁静,7
处罚,6
防治,6
机制,6
交通,6
出台,6
农村,6
密封条,6
午休,6
吸音,6
广场,6
车流,6
调低,6
回声,6
车辆,6
轰鸣,6
建筑,6
工艺,6
高噪,6
时段,6
大声,6
改装,6
摩托,6
屏障,6
居民区,6
隔声,6
学校,6
纳入,5
重点,5
划定,5
监督,5
明确,5
规定,5
深夜,5
改造,5
异响,5
隔音棉,5
楼道,5
降低,5
碰撞,5
阳台,5
全部,5
轻声,5
制定,5
杜绝,5
校内,5
电动车,5
严控,5
喧哗,5
设计,5
音响,5
社区,5
作业,5
噪声污染,5
评估,5
环保,4
基层,4
推动,4
法律,4
标准,4
工业,4
巡查,4
习惯,4
效果,4
办理,4
管管,4
隔音墙,4
规划,4
门缝,4
传音,4
室内,4
轻放,4
密封,4
隔绝,4
阻尼,4
楼栋,4
水泵房,4
反馈,4
减速带,4
覆盖,4
新房,4
选用,4
沿街,4
油烟机,4
运行,4
流动,4
教学楼,4
宿舍,4
广播,4
播放,4
食堂,4
密植,4
教学区,4
缓冲带,4
竞速,4
图书馆,4
自习室,4
交谈,4
空间,4
建设,4
新建,4
研发,4
生态环境,4
实时,4
能力,4
落地,3
减噪,3
应用,3
污染,3
考核,3
法律法规,3
政府部门,3
城市布局,3
分区,3
公众,3
参与,3
构建,3
防控,3
体系,3
炸街,3
白天,3
空调,3
影响,3
方案,3
惩罚,3
宠物,3
额额,3
休息,3
玻璃,3
摆放,3
老旧,3
更换,3
隔音板,3
风机,3
洗衣机,3
工地,3
户外,3
关闭,3
养成,3
作息,3
加固,3
填充,3
脚步,3
外界,3
厨房,3
旧衣服,3
鸣笛,3
软胶,3
地面,3
家具,3
空鼓,3
下水,3
气流,3
墙体,3
一侧,3
内部,3
强制,3
分户,3
门店,3
喇叭,3
循环,3
餐饮店,3
底座,3
优先,3
校外,3
合理布局,3
打闹,3
全域,3
隔离,3
餐具,3
就餐,3
机构,3
班级,3
互相,3
串音,3
商铺,3
维修,3
系统,3
点位,3
限制,3
货车,3
通行,3
路线,3
道路,3
轨道交通,3
地铁,3
快速,3
超标,3
排放,3
给予,3
密集,3
区内,3
员工,3
先进,3
动态,3
评价,3
居住区,3
合理安排,3
结果,3
生态,2
不力,2
居高不下,2
通报,2
问责,2
街道,2
自治,2
组织,2
公约,2
调整,2
敏感,2
制度,2
房子,2
职能部门,2
单位,2
人员,2
这个,2
市民,2
加速,2
落实,2
协同,2
违规,2
设施,2
常态,2
引导,2
共治,2
宁海县,2
多多,2
合理,2
位置,2
责任,2
严重,2
中央,2
举办,2
隔音材料,2
孩子,2
物业,2
整改,2
高架桥,2
住宅区,2
漏音,2
四周,2
双层,2
玄关,2
滑轮,2
床位,2
平稳,2
下水管,2
配备,2
耳机,2
清洗,2
掩盖,2
吠叫,2
物品,2
书房,2
吸音板,2
震动,2
缝隙,2
路由器,2
电流,2
卫生间,2
吊件,2
闲置,2
靠墙,2
毛巾,2
临时,2
低音炮,2
低频,2
放大,2
消除,2
教育,2
玩具,2
换成,2
布艺款,2
雨水,2
落水管,2
外侧,2
雨天,2
墙内,2
暗管,2
处用,2
砂浆,2
填实,2
存水,2
之间,2
防止,2
楼梯,2
扩散,2
结构,2
验收,2
飘窗,2
空腔,2
共鸣,2
加厚,2
走廊,2
嘈杂,2
安装,2
临街,2
锁点,2
胶垫,2
关窗,2
撞击,2
巨响,2
晃动,2
公司,2
标配,2
户型,2
布局,2
马路,2
低噪,2
基础,2
商场,2
超市,2
背景音乐,2
维保,2
摊贩,2
聚集,2
教会,2
说话,2
走路,2
课间,2
铃声,2
改用,2
音乐,2
操场,2
运动场,2
禁止喧哗,2
体育课,2
集体,2
办公楼,2
主动,2
院内,2
加密,2
钻孔,2
公共,2
打造,2
交流,2
水电,2
外墙,2
工厂,2
结束,2
机场,2
配送,2
非机动车,2
