F1,F2,F3,F4,cluster
0.9062,0.9455,-0.0102,-0.9668,2
-0.1879,-0.3255,0.9093,1.1686,4
0.5708,0.8594,-1.1572,-0.4392,2
1.7,1.8565,-1.3102,-0.9458,2
1.7799,1.8804,-0.5644,-2.3546,2
-0.3526,-0.822,0.1714,-0.8853,3
-0.6936,-0.0308,1.5001,-0.2918,1
-1.6502,-1.8319,-0.5194,-0.3809,3
0.6393,0.5808,1.0382,0.9958,4
1.6669,1.763,0.22,-0.1877,2
1.4727,1.6376,-0.3783,0.0657,2
1.4186,1.394,1.1831,1.452,4
-0.0216,-0.673,-1.5453,-0.9553,3
1.496,0.5974,1.4872,1.8828,4
0.6064,0.8053,0.4819,0.0185,4
0.1629,-0.1447,-0.5968,0.1589,4
1.7566,1.5542,-0.2783,-0.5891,2
-0.0815,-0.1566,-0.0027,0.2526,4
-0.0815,-0.1566,-0.0027,0.2526,4
-0.0815,-0.1566,-0.0027,0.2526,4
-0.2895,0.2226,0.9156,0.5803,4
-0.0815,-0.1566,-0.0027,0.2526,4
0.1375,-0.856,1.0844,-1.6623,1
0.3067,-0.0984,-1.0298,-0.7761,2
1.5756,1.0986,0.3876,-2.0021,2
0.1284,0.0278,0.3988,-1.5886,1
1.9443,-1.1577,-0.5268,-0.9183,2
-1.6101,-1.5446,-0.128,-0.6381,3
1.0835,1.9337,-0.0124,-0.4629,2
-0.3269,-0.7941,0.2053,-1.428,3
0.1634,-0.3089,-1.9095,0.1289,0
-1.7669,-0.4406,-1.9663,0.009,3
1.6406,1.5698,0.6949,0.2867,2
1.5936,1.6876,-0.3982,-0.0298,2
-1.2714,-1.8436,-1.1502,-0.96,3
1.3808,1.3498,1.4259,1.8022,4
-1.575,-1.7105,-0.4516,-1.3917,3
1.5508,0.8638,0.6015,-2.2979,2
1.825,2.0442,-1.7717,-1.2561,2
1.5604,1.8665,-0.5281,-0.2753,2
-1.5438,-1.663,-1.4314,-1.2969,3
1.4999,1.1241,-1.5956,-0.6952,2
-0.469,-0.8888,0.0446,-1.0364,3
-0.8113,-1.0044,-0.7194,-0.1536,3
-1.3204,-1.3593,1.1569,-0.1138,1
0.9667,1.0905,-0.9207,-1.1781,2
1.8511,1.9476,-1.7581,-0.6752,2
-0.2937,-1.1231,0.3252,-0.4676,4
0.2569,0.3172,-0.7792,-1.7893,2
0.9159,0.0636,-0.6094,-0.6757,2
-1.2677,-1.5533,-0.6033,-1.6767,3
1.4042,1.6313,0.9131,-0.0599,2
1.0577,0.1368,0.6987,-0.4185,4
1.854,2.0789,-1.6476,-0.6187,2
0.4374,-1.0232,-0.658,-1.8583,3
-1.7566,-2.0008,0.3927,0.5351,3
-1.5438,-1.663,-1.4314,-1.2969,3
2.1775,0.3464,-0.5041,-1.3873,2
1.2047,-0.2721,-1.8095,-0.6431,2
0.8763,-0.1588,-0.1578,-1.2343,2
0.2267,-1.248,0.5722,-0.2714,4
0.5623,0.0902,-1.0821,-1.0067,2
0.8716,-0.3179,1.046,-0.6019,4
-0.0815,-0.1566,-0.0027,0.2526,4
-0.7775,-1.1645,-0.546,-1.6516,3
-1.5542,-1.6789,-1.1048,-1.3285,3
1.1676,1.2671,-0.4087,1.9992,0
1.1974,0.9611,0.8512,0.4489,4
0.7592,0.1807,1.6517,1.4598,4
-0.3858,-0.4263,0.2919,-0.8784,1
-1.5438,-1.663,-1.4314,-1.2969,3
1.8497,2.0422,-1.7558,-1.0437,2
-0.0991,-0.1453,-0.8014,-1.338,3
1.6297,1.554,0.4293,-1.0353,2
0.7894,1.2464,-1.1583,-0.9674,2
0.4947,-0.1601,-1.8605,-1.6255,2
1.7859,0.7899,-1.5872,-0.7026,2
0.7503,-2.1713,1.2956,-0.4886,4
1.0757,-0.3015,-1.8967,-1.5705,2
1.097,1.2089,-2.3721,-0.1112,2
1.5935,1.3485,-1.2371,-0.9697,2
1.9788,0.9244,-2.1884,-1.728,2
1.6976,1.7252,-0.8285,0.2881,2
-0.0815,-0.1566,-0.0027,0.2526,4
0.6494,0.0606,-0.0654,0.0363,4
-1.5438,-1.663,-1.4314,-1.2969,3
-0.578,0.0626,0.204,0.8823,4
1.2233,1.4463,-1.2072,-0.8789,2
-0.5222,-0.988,1.9444,0.2902,4
-0.8456,0.3996,0.0699,-0.5506,1
0.552,0.9509,-1.6108,-1.7285,2
-0.7567,-1.425,-1.261,-0.6955,3
-1.6502,-1.8319,-0.5194,-0.3809,3
-1.5438,-1.663,-1.4314,-1.2969,3
-0.7371,-1.1902,-0.6846,-0.5141,3
-1.5438,-1.663,-1.4314,-1.2969,3
1.9863,0.8475,-1.5207,-1.4631,2
-0.7062,-0.7409,-1.6292,-1.4381,3
-1.5438,-1.663,-1.4314,-1.2969,3
-1.7671,-1.7443,-0.9409,-0.5001,3
-0.6201,-0.8021,-0.7441,-1.1545,3
-1.5438,-1.663,-1.4314,-1.2969,3
1.1987,0.9841,-1.6392,-1.7541,2
1.8064,2.0254,-2.2223,-1.8618,2
-1.5438,-1.663,-1.4314,-1.2969,3
1.3808,1.3498,1.4259,1.8022,4
1.7557,1.8648,-0.5677,0.0654,2
0.2,-0.3882,0.0312,0.229,4
0.6016,0.0014,-1.2132,-1.1446,2
-1.1029,-1.9432,-0.2501,0.219,3
1.4807,1.0545,-2.0544,-1.7789,2
1.5508,0.7977,0.8984,0.8404,4
1.8602,0.0335,0.6386,-0.8484,2
0.9588,-0.229,0.7268,-1.7969,2
0.2936,-0.6416,-1.4413,-1.2885,3
0.4645,0.274,0.0857,0.6163,4
1.1206,-1.9542,0.0424,0.2344,4
-0.6721,-1.4802,-0.1486,-1.0162,3
0.4625,-0.8647,-0.0804,0.7956,4
0.3227,0.3022,0.1231,-0.4322,4
0.9226,-1.7054,0.8834,-0.2233,4
-0.0363,-1.1069,1.2887,-0.6734,4
0.8006,0.0359,0.7765,1.0434,4
-1.4928,1.786,-1.3583,1.9373,0
-0.764,0.2358,1.7104,-0.3756,1
0.2433,0.7917,0.4401,-0.0761,4
-1.1383,0.9663,-1.1441,2.2963,0
-1.8061,1.4352,-1.3368,-1.4256,1
-1.963,1.896,-0.8578,1.4032,0
0.4383,-0.0579,-0.4368,-1.0548,2
0.413,0.6685,0.8267,0.6599,4
-0.0424,-1.3864,1.0846,-0.2327,4
1.5389,1.3882,-0.2625,0.0892,2
-0.2294,-0.5626,-1.0568,-1.3874,3
0.8309,0.8166,0.4282,-1.1753,2
-0.8126,-0.9098,-0.7171,-0.5221,3
0.6497,0.5966,0.7116,1.0274,4
0.7389,0.8012,0.5722,-0.4424,4
0.2467,0.1373,0.7921,1.0433,4
-0.0815,-0.1566,-0.0027,0.2526,4
1.0451,0.6931,0.8621,1.3846,4
1.457,0.9551,-0.2867,-0.7033,2
0.6497,0.5966,0.7116,1.0274,4
1.6501,1.8209,-0.1776,-1.2716,2
1.6281,0.8773,-0.8962,-0.9978,2
-0.0239,0.2473,-0.6086,-0.7219,2
0.3389,0.9294,0.9279,0.5094,4
0.3881,-0.981,-0.1167,-0.1417,4
-0.061,-0.0286,1.7101,-1.6187,1
0.5614,0.4466,1.4821,1.2587,4
-1.6084,-1.6501,-1.2037,-0.9458,3
1.6391,1.0126,1.2099,-0.3363,4
-0.6337,-0.5378,1.0576,-0.9288,1
0.1008,-0.3474,-0.3318,-0.1643,4
1.3808,1.3498,1.4259,1.8022,4
0.5042,-0.1608,-1.6462,-1.1112,2
0.6651,-0.2491,0.8961,1.2268,4
0.627,-0.2597,-1.7826,-0.2194,2
1.8932,1.1629,-1.1965,-0.8163,2
-0.2666,-0.1441,-1.5663,0.1553,0
1.1646,0.3453,-1.912,-0.4353,2
0.714,-0.6129,-1.2528,-0.1022,2
1.1142,-0.3173,-1.0717,0.0971,2
0.7917,0.6849,0.7593,0.2063,4
-0.1504,0.3923,-0.8402,-1.0158,2
0.8736,-0.7026,-0.4996,1.3845,4
0.4579,0.6303,0.7002,-0.0256,4
0.7201,0.5408,1.2194,0.813,4
-0.189,-0.0462,-0.4492,0.3632,4
0.2605,-0.2061,-1.8373,0.2781,0
0.7105,0.1097,-0.4779,-0.61,2
0.7016,0.6439,-0.1354,-0.0999,2
0.6573,-0.0592,-0.954,-0.8511,2
0.7538,0.8055,-0.8293,0.9814,0
0.5851,0.6095,0.9394,1.3785,4
0.6497,0.5966,0.7116,1.0274,4
-0.1685,1.1776,0.7732,0.3241,1
0.2174,-0.1112,0.8433,1.1555,4
-0.0496,-0.1975,0.2535,-0.0213,4
0.025,0.2307,0.9429,0.6361,4
0.4788,-1.0666,0.7565,0.1484,4
0.7205,0.3407,0.756,1.0288,4
0.6459,0.4527,0.9273,0.0084,4
0.1682,0.6909,0.9602,0.2601,4
0.9659,0.078,0.5072,0.7241,4
0.6433,0.1674,0.8212,-0.7038,4
0.7065,0.0256,0.3438,0.7202,4
0.7098,0.3757,0.2085,1.5444,4
0.2317,0.1169,1.407,0.0466,4
0.95,0.425,0.918,-0.1009,4
0.7145,-0.4288,-0.1833,0.7706,4
1.2821,0.5255,0.3761,0.4024,4
